,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
161,160,0.92,1,1,1,0,6,21,6,4,5,108,0.0
162,103,0.92,1,1,2,0,6,2,3,5,2,45,0.0
163,103,0.92,1,0,0,0,6,5,0,6,0,77,0.0
164,114,0.926,1,1,2,2,6,15,3,5,2,8,0.0
165,142,0.727,0,1,2,0,6,9,3,1,5,37,0.0
166,103,0.92,1,1,2,0,6,13,7,5,2,162,0.0
167,165,0.903,1,1,2,2,6,19,3,5,4,4,0.0
168,71,0.884,0,0,2,3,6,3,4,4,1,41,0.0
169,103,0.92,1,1,2,0,6,21,6,5,1,190,0.0
170,103,0.92,1,1,2,0,6,6,3,4,1,11,0.0
171,103,0.92,1,0,0,1,4,3,5,5,1,30,0.0
172,103,0.92,1,1,2,2,6,13,3,6,5,39,0.0
173,102,0.804,1,1,0,1,4,9,0,6,1,16,0.0
174,114,0.926,1,0,2,0,6,21,6,5,5,5,0.0
175,26,0.698,1,0,0,1,4,8,0,6,0,39,0.0
176,114,0.926,1,1,2,2,6,10,6,5,5,29,0.0
177,103,0.92,2,0,1,1,4,6,6,1,1,54,0.0
178,160,0.92,1,1,2,0,6,9,6,5,3,44,0.0
179,16,0.91,1,1,2,0,6,15,0,6,5,47,0.0
180,103,0.92,1,1,2,0,6,21,4,2,5,74,0.0
181,21,0.624,1,1,2,2,6,6,2,5,1,8,1.0
182,103,0.92,1,1,2,0,6,3,7,5,1,162,0.0
183,46,0.762,2,1,1,1,4,3,2,5,1,262,0.0
184,138,0.836,1,1,2,2,6,14,0,6,1,6,0.0
185,64,0.6659999999999999,1,1,1,0,6,9,2,5,1,19,1.0
186,64,0.6659999999999999,2,0,2,0,6,21,6,5,5,23,1.0
187,136,0.897,1,1,2,2,6,15,5,6,5,134,0.0
188,114,0.926,1,1,2,2,6,11,2,0,1,40,0.0
189,71,0.884,1,1,2,0,6,12,6,5,1,11,0.0
190,160,0.92,1,1,2,0,6,11,0,6,3,102,0.0
191,21,0.624,1,0,0,0,6,2,0,6,0,100,0.0
192,83,0.923,1,0,2,2,6,3,5,5,0,30,0.0
193,21,0.624,1,0,2,0,6,0,0,6,1,14,1.0
194,83,0.923,1,0,2,4,4,1,0,5,0,103,0.0
195,160,0.92,1,1,1,0,6,5,4,4,2,40,0.0
196,16,0.91,1,1,2,3,6,21,3,5,2,27,0.0
197,114,0.926,1,0,2,1,4,10,3,5,5,46,0.0
198,114,0.926,1,1,2,1,4,7,6,5,5,110,0.0
199,103,0.92,1,1,2,0,6,13,6,1,1,96,0.0
200,160,0.92,1,1,0,0,6,6,0,6,1,240,0.0
201,98,0.949,1,1,2,0,6,4,6,1,4,42,0.0
202,75,0.939,1,1,2,2,6,7,0,6,1,16,1.0
203,12,0.64,1,1,2,0,6,21,6,5,0,40,1.0
204,103,0.92,1,1,2,0,6,5,3,1,2,94,0.0
205,173,0.878,1,0,1,0,6,10,2,0,1,25,0.0
206,43,0.516,1,1,2,0,6,9,1,0,1,11,0.0
207,90,0.698,1,1,2,0,6,8,0,6,1,23,0.0
208,142,0.727,1,1,2,0,6,10,2,5,2,113,0.0
209,104,0.924,1,0,0,0,6,2,0,6,1,39,1.0
210,160,0.92,1,1,0,0,6,21,5,5,1,40,0.0
211,103,0.92,1,1,2,2,6,21,1,5,5,56,0.0
212,114,0.926,1,1,1,0,6,19,7,5,2,64,0.0
213,73,0.754,1,1,2,0,6,5,5,5,1,51,0.0
214,67,0.855,0,1,0,0,6,6,4,5,2,41,0.0
215,74,0.579,1,1,2,0,6,4,2,5,1,320,0.0
216,136,0.897,1,1,2,2,6,7,0,6,0,20,0.0
217,102,0.804,1,1,0,0,6,9,8,5,1,74,0.0
218,21,0.624,1,1,2,2,6,3,0,4,1,129,1.0
219,67,0.855,0,1,2,2,6,10,0,6,1,42,0.0
220,103,0.92,1,0,0,1,4,3,0,6,1,126,1.0
221,83,0.923,1,1,2,0,6,21,2,5,5,166,0.0
222,61,0.913,1,1,2,0,6,2,6,5,1,110,0.0
223,103,0.92,1,1,0,0,6,21,0,6,1,37,0.0
224,102,0.804,0,1,1,0,6,2,0,6,1,95,1.0
225,103,0.92,1,1,2,0,6,21,0,6,5,29,1.0
226,114,0.926,1,1,2,2,6,21,6,5,5,31,0.0
227,116,0.743,1,0,0,2,6,11,6,5,5,97,0.0
228,114,0.926,1,0,2,4,4,3,0,6,0,16,0.0
229,103,0.92,1,0,2,4,4,4,0,6,0,14,0.0
230,102,0.804,1,1,2,3,6,21,3,5,5,206,0.0
231,103,0.92,0,1,2,0,6,2,2,1,1,204,0.0
232,103,0.92,1,1,2,2,6,18,5,5,2,116,0.0
233,160,0.92,1,1,2,0,6,21,0,6,5,25,1.0
234,90,0.698,1,1,0,2,6,15,0,6,1,100,0.0
235,103,0.92,1,1,2,0,6,20,5,5,0,107,0.0
236,157,0.769,1,1,1,2,6,11,0,6,1,17,0.0
237,16,0.91,1,1,2,0,6,10,1,5,1,140,0.0
238,75,0.939,1,1,2,0,2,3,5,5,2,75,0.0
239,67,0.855,0,1,2,2,6,9,3,5,2,42,1.0
240,16,0.91,0,1,2,0,6,7,5,5,1,22,0.0
241,61,0.913,1,1,2,2,6,21,7,5,5,143,0.0
242,67,0.855,0,1,2,0,6,14,6,5,2,72,0.0
243,103,0.92,1,1,2,1,4,11,7,5,1,7,0.0
244,136,0.897,1,0,0,0,6,3,6,0,1,182,0.0
245,99,0.915,1,1,2,0,6,15,6,5,4,50,0.0
246,100,0.887,1,1,2,1,4,2,6,4,1,82,0.0
247,21,0.624,1,1,2,0,6,4,1,6,2,60,1.0
248,65,0.802,1,1,0,2,6,5,3,5,4,124,0.0
249,152,0.698,1,0,0,2,6,3,0,2,2,57,1.0
250,160,0.92,0,1,2,0,6,9,6,5,1,17,0.0
251,150,0.698,1,0,2,4,4,3,0,5,0,31,0.0
252,136,0.897,1,1,2,0,6,21,0,6,1,36,0.0
253,36,0.893,1,1,1,0,6,15,0,6,4,198,0.0
254,16,0.91,1,0,2,2,6,5,5,5,0,31,0.0
255,103,0.92,1,1,2,0,6,21,6,1,1,31,0.0
256,103,0.92,1,1,2,0,6,20,0,6,5,26,1.0
257,103,0.92,1,1,2,0,6,6,6,5,1,55,0.0
258,21,0.624,1,1,2,0,6,11,0,6,5,8,1.0
259,16,0.91,1,1,2,1,4,21,3,5,5,38,0.0
260,23,0.899,1,1,2,0,2,16,0,6,2,8,0.0
261,173,0.878,1,1,2,2,6,21,4,5,3,32,1.0
262,40,0.7759999999999999,1,1,1,0,6,18,3,1,5,51,0.0
263,102,0.804,1,1,0,0,6,9,8,5,2,22,0.0
264,114,0.926,1,1,0,1,4,7,0,6,1,17,0.0
265,23,0.899,1,1,2,0,6,5,2,1,1,19,0.0
266,21,0.624,1,1,0,2,6,9,6,5,2,46,1.0
267,16,0.91,0,1,2,0,6,13,6,5,5,15,0.0
268,160,0.92,1,1,2,2,6,21,0,6,5,23,1.0
269,36,0.893,1,1,2,0,6,21,3,5,5,38,0.0
270,103,0.92,1,1,2,0,6,21,4,4,5,52,0.0
271,103,0.92,0,0,2,0,6,0,0,6,0,22,1.0
272,114,0.926,1,1,2,2,6,15,3,5,2,65,0.0
273,103,0.92,1,1,2,0,6,7,8,5,4,86,0.0
274,100,0.887,1,0,0,0,6,4,0,6,1,52,1.0
275,114,0.926,1,0,2,0,6,3,4,4,1,86,0.0
276,136,0.897,1,0,0,2,6,5,0,6,4,288,1.0
277,16,0.91,1,1,2,2,6,21,3,5,5,53,0.0
278,75,0.939,1,1,2,0,6,17,6,6,1,60,0.0
279,16,0.91,1,1,2,2,6,18,0,6,5,178,0.0
280,75,0.939,1,1,2,3,6,21,6,5,2,166,0.0
281,104,0.924,1,1,2,3,2,21,0,6,1,62,0.0
282,21,0.624,1,1,0,0,6,7,5,6,1,35,0.0
283,103,0.92,1,1,2,0,6,17,3,5,5,106,0.0
284,138,0.836,1,0,2,0,6,6,1,5,0,58,0.0
285,75,0.939,1,1,2,2,6,16,8,2,2,166,0.0
286,103,0.92,1,1,2,0,1,21,5,5,0,109,0.0
287,71,0.884,1,1,2,0,6,1,1,0,1,37,0.0
288,45,0.89,1,0,2,0,6,9,6,5,3,51,0.0
289,103,0.92,1,1,2,0,6,16,6,1,1,84,0.0
290,114,0.926,1,1,2,0,6,21,7,2,1,72,0.0
291,100,0.887,1,1,2,1,4,21,3,5,1,47,0.0
292,67,0.855,1,0,0,0,6,12,0,6,4,47,0.0
293,21,0.624,1,1,2,0,6,8,0,6,1,198,1.0
294,103,0.92,1,0,2,0,5,2,4,4,1,64,0.0
295,50,0.8959999999999999,1,1,2,2,6,15,5,5,5,23,1.0
296,71,0.884,1,0,0,2,6,14,3,4,3,96,0.0
297,21,0.624,1,0,2,1,4,2,0,5,0,306,0.0
298,73,0.754,1,1,2,0,6,9,1,2,1,8,0.0
299,46,0.762,1,1,2,0,6,21,3,5,1,48,0.0
300,21,0.624,1,1,2,0,6,8,2,5,1,98,1.0
301,103,0.92,1,0,0,0,6,1,0,6,1,53,1.0
302,103,0.92,1,1,2,0,0,21,1,5,1,102,0.0
303,103,0.92,1,0,2,4,4,1,0,6,0,43,0.0
304,103,0.92,1,0,2,0,6,21,6,5,5,32,0.0
305,71,0.884,0,1,2,2,6,3,0,6,2,322,1.0
306,160,0.92,0,1,0,0,6,4,8,5,1,7,0.0
307,16,0.91,1,1,2,0,6,16,2,5,1,53,0.0
308,67,0.855,1,1,2,0,6,10,2,1,1,161,0.0
309,136,0.897,1,0,2,2,6,8,2,5,1,11,0.0
310,21,0.624,1,0,0,0,6,1,6,6,1,72,1.0
311,105,0.794,0,1,2,2,2,6,6,5,1,182,0.0
312,75,0.939,1,1,2,0,6,21,8,5,5,67,0.0
313,128,0.527,0,0,2,0,6,1,0,6,1,50,0.0
314,71,0.884,0,0,1,0,6,5,3,5,1,16,0.0
315,16,0.91,1,1,2,0,6,21,5,5,5,38,0.0
316,103,0.92,2,1,2,0,0,5,2,0,1,98,0.0
317,70,0.698,1,0,1,0,6,4,0,6,2,7,1.0
318,160,0.92,1,0,0,0,6,2,0,6,1,88,0.0
319,71,0.884,1,1,2,2,6,4,3,5,2,112,0.0
320,158,0.7659999999999999,2,1,0,0,6,15,8,6,0,30,1.0
321,67,0.855,2,0,0,1,4,4,5,5,1,36,0.0
322,16,0.91,1,1,2,0,6,19,3,5,4,24,0.0
323,103,0.92,1,1,2,2,2,2,5,2,1,28,0.0
324,173,0.878,1,1,1,0,6,10,6,4,1,166,0.0
325,21,0.624,1,1,0,2,6,10,6,5,2,61,1.0
326,46,0.762,1,1,2,0,6,21,6,4,3,24,0.0
327,16,0.91,1,0,0,0,6,10,0,6,1,8,1.0
328,165,0.903,1,1,2,0,6,9,0,6,1,133,0.0
329,67,0.855,1,1,2,0,6,14,0,6,5,143,0.0
330,173,0.878,1,1,2,0,6,21,2,5,5,29,0.0
331,103,0.92,1,1,2,0,6,9,5,4,5,11,1.0
332,21,0.624,1,1,2,0,6,4,6,6,1,7,0.0
333,46,0.762,1,1,2,0,6,8,6,5,5,87,0.0
334,103,0.92,1,1,2,0,6,8,2,1,1,18,0.0
335,41,0.8270000000000001,1,1,2,0,0,9,4,5,1,76,1.0
336,21,0.624,1,1,2,0,6,6,5,5,1,114,0.0
337,16,0.91,1,1,2,0,6,7,6,6,5,30,0.0
338,83,0.923,1,1,2,0,6,21,7,5,5,80,0.0
339,40,0.7759999999999999,1,1,0,0,6,14,4,5,0,52,0.0
340,21,0.624,0,1,2,0,6,0,6,5,1,13,0.0
341,21,0.624,1,0,2,4,4,2,0,6,0,12,1.0
342,138,0.836,1,1,2,2,2,2,3,5,1,36,0.0
343,114,0.926,1,1,2,2,6,21,4,5,5,67,0.0
344,103,0.92,1,1,2,0,6,9,0,5,1,100,0.0
345,16,0.91,1,1,2,3,6,15,5,5,1,58,0.0
346,21,0.624,1,1,2,0,6,7,3,5,1,18,1.0
347,65,0.802,1,1,0,0,6,0,5,5,2,11,0.0
348,21,0.624,1,1,2,0,6,4,0,6,2,15,1.0
349,103,0.92,1,1,2,0,5,10,6,5,5,206,0.0
350,28,0.939,1,1,2,2,6,21,5,5,5,88,0.0
351,114,0.926,1,1,1,2,6,14,5,5,2,16,0.0
352,104,0.924,1,1,2,0,6,21,4,5,5,95,0.0
353,21,0.624,1,0,2,0,6,6,0,4,1,53,0.0
354,103,0.92,1,1,2,0,6,21,0,6,5,220,1.0
355,72,0.795,1,1,2,2,6,21,3,4,5,94,0.0
356,103,0.92,1,1,2,0,3,17,2,5,3,20,0.0
357,101,0.5579999999999999,1,0,2,0,6,8,0,6,0,47,1.0
358,103,0.92,1,1,2,0,6,21,0,6,2,60,0.0
359,21,0.624,1,1,2,0,6,6,5,5,4,78,1.0
360,75,0.939,1,1,2,0,6,21,5,5,3,2,0.0
361,105,0.794,0,1,0,0,6,9,3,5,5,206,0.0
362,67,0.855,1,0,2,1,4,12,0,6,1,90,0.0
363,19,0.682,1,1,2,0,6,12,3,5,3,25,0.0
364,21,0.624,1,1,0,0,6,5,2,5,1,8,1.0
365,114,0.926,1,1,2,0,6,9,7,5,2,22,0.0
366,103,0.92,1,1,2,0,2,19,3,5,5,90,0.0
367,103,0.92,1,1,0,1,4,10,0,6,2,81,1.0
368,114,0.926,1,1,2,0,6,7,1,5,1,120,0.0
369,21,0.624,1,1,2,0,6,4,6,5,0,18,1.0
370,65,0.802,1,1,0,0,6,8,8,5,2,314,0.0
371,16,0.91,1,0,0,0,6,2,0,6,0,10,0.0
372,21,0.624,1,1,2,2,6,8,0,6,1,25,1.0
373,101,0.5579999999999999,1,0,2,0,6,0,1,0,1,146,1.0
374,21,0.624,1,1,2,0,6,3,0,6,1,26,0.0
375,20,0.7959999999999999,1,1,2,0,6,11,3,5,5,25,0.0
376,103,0.92,1,1,2,0,6,21,6,5,5,50,1.0
377,103,0.92,1,1,2,0,6,9,5,5,5,30,0.0
378,106,0.698,1,1,2,0,6,18,5,5,4,39,0.0
379,16,0.91,1,1,2,0,6,21,6,5,1,43,1.0
380,143,0.74,1,0,2,0,6,4,0,6,1,21,1.0
381,67,0.855,1,1,2,0,2,9,5,5,2,226,0.0
382,103,0.92,1,1,2,0,6,14,0,6,1,60,0.0
383,78,0.579,1,1,2,0,6,2,0,6,1,9,0.0
384,21,0.624,1,1,2,0,6,7,6,5,1,50,0.0
385,73,0.754,1,0,1,1,4,4,4,5,1,280,1.0
386,16,0.91,1,1,2,0,6,3,6,6,2,91,0.0
387,21,0.624,1,1,2,2,6,5,3,5,1,15,1.0
388,103,0.92,1,1,0,0,6,5,3,5,2,14,0.0
389,16,0.91,1,1,2,0,6,10,7,5,1,74,0.0
390,21,0.624,1,1,2,0,6,20,0,6,2,43,1.0
391,114,0.926,1,1,2,2,6,14,7,5,1,52,0.0
392,21,0.624,1,1,2,0,6,8,3,5,1,54,1.0
393,73,0.754,1,0,1,0,6,8,1,0,1,50,0.0
394,150,0.698,1,1,2,0,6,7,0,5,0,100,0.0
395,10,0.895,1,1,2,2,6,17,1,0,1,42,0.0
396,16,0.91,1,1,2,3,6,21,3,5,4,11,0.0
397,16,0.91,1,1,2,2,6,10,6,5,2,74,0.0
398,65,0.802,1,1,0,1,4,7,6,5,1,17,0.0
399,45,0.89,1,1,0,0,6,9,6,5,5,90,0.0
400,67,0.855,1,0,2,2,6,21,3,5,2,234,0.0
401,21,0.624,1,0,2,0,6,3,7,5,3,11,1.0
402,104,0.924,1,1,2,2,2,7,1,5,1,163,0.0
403,16,0.91,1,1,2,0,6,10,6,5,4,9,0.0
404,67,0.855,1,0,2,0,5,5,0,6,0,36,0.0
405,13,0.8270000000000001,1,1,0,0,6,5,2,4,1,6,0.0
406,75,0.939,1,1,2,0,6,11,4,5,5,72,0.0
407,114,0.926,1,1,1,0,6,18,3,2,3,84,0.0
408,150,0.698,1,1,2,0,6,14,6,4,5,24,0.0
409,61,0.913,1,1,2,1,4,21,2,5,1,77,0.0
410,103,0.92,1,1,2,0,2,17,6,1,2,8,0.0
411,93,0.865,1,1,2,2,6,21,0,6,5,8,0.0
412,103,0.92,1,0,2,0,6,21,0,6,1,55,0.0
413,21,0.624,1,1,0,0,6,9,3,5,1,74,1.0
414,21,0.624,1,1,0,0,6,2,1,6,1,36,0.0
415,103,0.92,1,1,2,0,6,21,3,5,5,151,0.0
416,21,0.624,1,1,2,0,6,11,6,5,1,4,0.0
417,116,0.743,1,1,2,2,5,2,3,6,2,102,0.0
418,114,0.926,1,1,2,0,6,7,5,5,3,29,0.0
419,16,0.91,1,1,2,2,6,21,5,5,2,78,0.0
420,21,0.624,1,1,0,0,6,2,1,5,2,141,1.0
421,104,0.924,1,1,0,1,4,8,3,4,1,41,1.0
422,123,0.738,1,1,0,0,6,5,0,5,1,13,0.0
423,57,0.866,1,1,2,2,6,12,6,5,1,30,0.0
424,21,0.624,1,1,2,0,6,8,3,5,2,104,1.0
425,109,0.701,1,0,0,0,6,2,0,6,1,108,0.0
426,71,0.884,1,1,2,0,6,12,1,0,1,98,0.0
427,16,0.91,0,1,2,2,2,5,0,4,1,57,0.0
428,160,0.92,1,1,2,0,6,21,0,6,5,44,1.0
429,103,0.92,1,1,2,2,6,21,2,5,5,9,0.0
